nox,rm,dis,tax,ptratio,b,medv
0.428,6.595,5.4011,252,18.3,395.63,30.8
0.428,7.024,5.4011,252,18.3,395.62,34.9
0.448,6.77,5.7209,233,17.9,385.41,26.6
0.448,6.169,5.7209,233,17.9,383.37,25.3
0.448,6.211,5.7209,233,17.9,394.46,24.7
0.448,6.069,5.7209,233,17.9,389.39,21.2
0.448,5.682,5.1004,233,17.9,396.9,19.3
0.448,5.786,5.1004,233,17.9,396.9,20.0
0.448,6.03,5.6894,233,17.9,392.74,16.6
0.448,5.399,5.87,233,17.9,396.9,14.4
0.448,5.602,6.0877,233,17.9,396.9,19.4
0.439,5.963,6.8147,243,16.8,395.56,19.7
0.439,6.115,6.8147,243,16.8,393.97,20.5
0.439,6.511,6.8147,243,16.8,396.9,25.0
0.439,5.998,6.8147,243,16.8,396.9,23.4
0.41,5.888,7.3197,469,21.1,396.9,18.9
0.403,7.249,8.6966,226,17.9,395.93,35.4
0.41,6.383,9.1876,313,17.3,396.9,24.7
0.411,6.816,8.3248,256,15.1,392.9,31.6
0.453,6.145,7.8148,284,19.7,390.68,23.3
0.453,5.927,6.932,284,19.7,396.9,19.6
0.453,5.741,7.2254,284,19.7,395.11,18.7
0.453,5.966,6.8185,284,19.7,378.08,16.0
0.453,6.456,7.2255,284,19.7,396.9,22.2
0.453,6.762,7.9809,284,19.7,395.58,25.0
0.4161,7.104,9.2229,216,18.6,393.24,33.0
0.398,6.29,6.6115,337,16.1,396.9,23.5
0.398,5.787,6.6115,337,16.1,396.9,19.4
0.409,5.878,6.498,345,18.9,396.21,22.0
0.409,5.594,6.498,345,18.9,396.9,17.4
0.409,5.885,6.498,345,18.9,396.9,20.9
0.413,6.417,5.2873,305,19.2,383.73,24.2
0.413,5.961,5.2873,305,19.2,376.94,21.7
0.413,6.065,5.2873,305,19.2,390.91,22.8
0.413,6.245,5.2873,305,19.2,377.17,23.4
0.437,6.273,4.2515,398,18.7,394.92,24.1
0.437,6.286,4.5026,398,18.7,383.23,21.4
0.437,6.279,4.0522,398,18.7,373.66,20.0
0.437,6.14,4.0905,398,18.7,386.96,20.8
0.437,6.232,5.0141,398,18.7,386.4,21.2
0.437,5.874,4.5026,398,18.7,396.06,20.3
0.426,6.727,5.4007,281,19.0,396.9,28.0
0.426,6.619,5.4007,281,19.0,395.63,23.9
0.426,6.302,5.4007,281,19.0,396.9,24.8
0.426,6.167,5.4007,281,19.0,390.64,22.9
0.449,6.389,4.7794,247,18.5,396.9,23.9
0.449,6.63,4.4377,247,18.5,392.3,26.6
0.449,6.015,4.4272,247,18.5,395.99,22.5
0.449,6.121,3.7476,247,18.5,395.15,22.2
0.489,7.007,3.4217,270,17.8,396.9,23.6
0.489,7.079,3.4145,270,17.8,396.06,28.7
0.489,6.417,3.0923,270,17.8,392.18,22.6
0.489,6.405,3.0921,270,17.8,393.55,22.0
0.464,6.442,3.6659,270,18.2,395.01,22.9
0.464,6.211,3.6659,270,18.2,396.33,25.0
0.464,6.249,3.615,270,18.2,396.9,20.6
0.445,6.625,3.4952,276,18.0,357.98,28.4
0.445,6.163,3.4952,276,18.0,391.83,21.4
0.445,8.069,3.4952,276,18.0,396.9,38.7
0.445,7.82,3.4952,276,18.0,393.53,43.8
0.445,7.416,3.4952,276,18.0,396.9,33.2
0.52,6.727,2.7778,384,20.9,394.76,27.5
0.52,6.781,2.8561,384,20.9,395.58,26.5
0.52,6.405,2.7147,384,20.9,70.8,18.6
0.52,6.137,2.7147,384,20.9,394.47,19.3
0.52,6.167,2.421,384,20.9,392.69,20.1
0.52,5.851,2.1069,384,20.9,394.05,19.5
0.52,5.836,2.211,384,20.9,395.67,19.5
0.52,6.127,2.1224,384,20.9,387.69,20.4
0.52,6.474,2.4329,384,20.9,395.24,19.8
0.52,6.229,2.5451,384,20.9,391.23,19.4
0.52,6.195,2.7778,384,20.9,393.49,21.7
0.547,6.715,2.6775,432,17.8,395.59,22.8
0.547,5.913,2.3534,432,17.8,394.95,18.8
0.547,6.092,2.548,432,17.8,396.9,18.7
0.547,6.254,2.2565,432,17.8,388.74,18.5
0.547,5.928,2.4631,432,17.8,344.91,18.3
0.547,6.176,2.7301,432,17.8,393.3,21.2
0.547,6.021,2.7474,432,17.8,394.51,19.2
0.547,5.872,2.4775,432,17.8,338.63,20.4
0.547,5.731,2.7592,432,17.8,391.5,19.3
0.581,5.87,2.2577,188,19.1,389.15,22.0
0.581,6.004,2.1974,188,19.1,377.67,20.3
0.581,5.961,2.0869,188,19.1,378.09,20.5
0.581,5.856,1.9444,188,19.1,370.31,17.3
0.581,5.879,2.0063,188,19.1,379.38,18.8
0.581,5.986,1.9929,188,19.1,385.02,21.4
0.581,5.613,1.7572,188,19.1,359.29,15.7
0.624,5.693,1.7883,437,21.2,392.11,16.2
0.624,6.431,1.8125,437,21.2,396.9,18.0
0.624,5.637,1.9799,437,21.2,396.9,14.3
0.624,6.458,2.1185,437,21.2,395.04,19.2
0.624,6.326,2.271,437,21.2,396.9,19.6
0.624,6.372,2.3274,437,21.2,385.76,23.0
0.624,5.822,2.4699,437,21.2,388.69,18.4
0.624,5.757,2.346,437,21.2,262.76,15.6
0.624,6.335,2.1107,437,21.2,394.67,18.1
0.624,5.942,1.9669,437,21.2,378.25,17.4
0.624,6.454,1.8498,437,21.2,394.08,17.1
0.624,5.857,1.6686,437,21.2,392.04,13.3
0.624,6.151,1.6687,437,21.2,396.9,17.8
0.624,6.174,1.6119,437,21.2,388.08,14.0
0.624,5.019,1.4394,437,21.2,396.9,14.4
0.871,5.403,1.3216,403,14.7,396.9,13.4
0.871,5.468,1.4118,403,14.7,396.9,15.6
0.871,4.903,1.3459,403,14.7,396.9,11.8
0.871,6.13,1.4191,403,14.7,172.91,13.8
0.871,5.628,1.5166,403,14.7,169.27,15.6
0.871,4.926,1.4608,403,14.7,391.71,14.6
0.871,5.186,1.5296,403,14.7,356.99,17.8
0.871,5.597,1.5257,403,14.7,351.85,15.4
0.871,6.122,1.618,403,14.7,372.8,21.5
0.871,5.404,1.5916,403,14.7,341.6,19.6
0.871,5.012,1.6102,403,14.7,343.28,15.3
0.871,5.709,1.6232,403,14.7,261.95,19.4
0.871,6.129,1.7494,403,14.7,321.02,17.0
0.871,6.152,1.7455,403,14.7,88.01,15.6
0.871,5.272,1.7364,403,14.7,88.63,13.1
0.605,6.943,1.8773,403,14.7,363.43,41.3
0.605,6.066,1.7573,403,14.7,353.89,24.3
0.871,6.51,1.7659,403,14.7,364.31,23.3
0.605,6.25,1.7984,403,14.7,338.92,27.0
0.605,7.489,1.9709,403,14.7,374.43,50.0
0.605,7.802,2.0407,403,14.7,389.61,50.0
0.605,8.375,2.162,403,14.7,388.45,50.0
0.605,5.854,2.422,403,14.7,395.11,22.7
0.605,6.101,2.2834,403,14.7,240.16,25.0
0.605,7.929,2.0459,403,14.7,369.3,50.0
0.605,5.877,2.4259,403,14.7,227.61,23.8
0.605,6.319,2.1,403,14.7,297.09,23.8
0.605,6.402,2.2625,403,14.7,330.04,22.3
0.605,5.875,2.4259,403,14.7,292.29,17.4
0.605,5.88,2.3887,403,14.7,348.13,19.1
0.51,5.572,2.5961,296,16.6,396.9,23.1
0.51,6.416,2.6463,296,16.6,395.5,23.6
0.51,5.859,2.7019,296,16.6,393.23,22.6
0.51,6.546,3.1323,296,16.6,390.96,29.4
0.51,6.02,3.5549,296,16.6,393.23,23.2
0.51,6.315,3.3175,296,16.6,395.6,24.6
0.51,6.86,2.9153,296,16.6,391.27,29.9
0.488,6.98,2.829,193,17.8,396.9,37.2
0.488,7.765,2.741,193,17.8,395.56,39.8
0.488,6.144,2.5979,193,17.8,396.9,36.2
0.488,7.155,2.7006,193,17.8,394.12,37.9
0.488,6.563,2.847,193,17.8,396.9,32.5
0.488,5.604,2.9879,193,17.8,391.0,26.4
0.488,6.153,3.2797,193,17.8,387.11,29.6
0.488,7.831,3.1992,193,17.8,392.63,50.0
0.437,6.782,3.7886,398,15.2,393.87,32.0
0.437,6.556,4.5667,398,15.2,382.84,29.8
0.437,7.185,4.5667,398,15.2,396.9,34.9
0.437,6.951,6.4798,398,15.2,377.68,37.0
0.437,6.739,6.4798,398,15.2,389.71,30.5
0.437,7.178,6.4798,398,15.2,390.49,36.4
0.401,6.8,6.2196,265,15.6,393.37,31.1
0.401,6.604,6.2196,265,15.6,376.7,29.1
0.422,7.875,5.6484,255,14.4,394.23,50.0
0.404,7.287,7.309,329,12.6,396.9,33.3
0.404,7.107,7.309,329,12.6,354.31,30.3
0.404,7.274,7.309,329,12.6,392.2,34.6
0.403,6.975,7.6534,402,17.0,396.9,34.9
0.403,7.135,7.6534,402,17.0,384.3,32.9
0.415,6.162,6.27,348,14.7,393.77,24.1
0.415,7.61,6.27,348,14.7,395.38,42.3
0.4161,7.853,5.118,224,14.7,392.78,48.5
0.4161,8.034,5.118,224,14.7,390.55,50.0
0.489,5.891,3.9454,277,18.6,396.9,22.6
0.489,6.326,4.3549,277,18.6,394.87,24.4
0.489,5.783,4.3549,277,18.6,389.43,22.5
0.489,6.064,4.2392,277,18.6,381.32,24.4
0.489,5.344,3.875,277,18.6,396.9,20.0
0.489,5.96,3.8771,277,18.6,393.25,21.7
0.489,5.404,3.665,277,18.6,395.24,19.3
0.489,5.807,3.6526,277,18.6,390.94,22.4
0.489,6.375,3.9454,277,18.6,385.81,28.1
0.489,5.412,3.5875,277,18.6,348.93,23.7
0.489,6.182,3.9454,277,18.6,393.63,25.0
0.55,5.888,3.1121,276,16.4,392.8,23.3
0.55,6.642,3.4211,276,16.4,392.78,28.7
0.55,5.951,2.8893,276,16.4,396.9,21.5
0.55,6.373,3.3633,276,16.4,393.74,23.0
0.507,6.951,2.8617,307,17.4,391.7,26.7
0.507,6.164,3.048,307,17.4,395.24,21.7
0.507,6.879,3.2721,307,17.4,390.39,27.5
0.507,6.618,3.2721,307,17.4,396.9,30.1
0.504,8.266,2.8944,307,17.4,385.05,44.8
0.504,8.725,2.8944,307,17.4,382.0,50.0
0.504,8.04,3.2157,307,17.4,387.38,37.6
0.504,7.163,3.2157,307,17.4,372.08,31.6
0.504,7.686,3.3751,307,17.4,377.51,46.7
0.504,6.552,3.3751,307,17.4,380.34,31.5
0.504,5.981,3.6715,307,17.4,378.35,24.3
0.504,7.412,3.6715,307,17.4,376.14,31.7
0.507,8.337,3.8384,307,17.4,385.91,41.7
0.507,8.247,3.6519,307,17.4,378.95,48.3
0.507,6.726,3.6519,307,17.4,360.2,29.0
0.507,6.086,3.6519,307,17.4,376.75,24.0
0.507,6.631,4.148,307,17.4,388.45,25.1
0.507,7.358,4.148,307,17.4,390.07,31.5
0.428,6.481,6.1899,300,16.6,379.41,23.7
0.428,6.606,6.1899,300,16.6,383.78,23.3
0.428,6.897,6.3361,300,16.6,391.25,22.0
0.428,6.095,6.3361,300,16.6,394.62,20.1
0.428,6.358,7.0355,300,16.6,372.75,22.2
0.428,6.393,7.0355,300,16.6,374.71,23.7
0.431,5.593,7.9549,330,19.1,372.49,17.6
0.431,5.605,7.9549,330,19.1,389.13,18.5
0.431,6.108,8.0555,330,19.1,390.18,24.3
0.431,6.226,8.0555,330,19.1,376.14,20.5
0.431,6.433,7.8265,330,19.1,374.71,24.5
0.431,6.718,7.8265,330,19.1,393.74,26.2
0.431,6.487,7.3967,330,19.1,396.28,24.4
0.431,6.438,7.3967,330,19.1,377.07,24.8
0.431,6.957,8.9067,330,19.1,386.09,29.6
0.431,8.259,8.9067,330,19.1,396.9,42.8
0.392,6.108,9.2203,315,16.4,392.89,21.9
0.392,5.876,9.2203,315,16.4,395.18,20.9
0.394,7.454,6.3361,244,15.9,386.34,44.0
0.647,8.704,1.801,264,13.0,389.7,50.0
0.647,7.333,1.8946,264,13.0,383.29,36.0
0.647,6.842,2.0107,264,13.0,391.93,30.1
0.647,7.203,2.1121,264,13.0,392.8,33.8
0.647,7.52,2.1398,264,13.0,388.37,43.1
0.647,8.398,2.2885,264,13.0,386.86,48.8
0.647,7.327,2.0788,264,13.0,393.42,31.0
0.647,7.206,1.9301,264,13.0,387.89,36.5
0.647,5.56,1.9865,264,13.0,392.4,22.8
0.647,7.014,2.1329,264,13.0,384.07,30.7
0.575,8.297,2.4216,264,13.0,384.54,50.0
0.575,7.47,2.872,264,13.0,390.3,43.5
0.464,5.92,3.9175,223,18.6,391.34,20.7
0.464,5.856,4.429,223,18.6,388.65,21.1
0.464,6.24,4.429,223,18.6,396.9,25.2
0.464,6.538,3.9175,223,18.6,394.96,24.4
0.464,7.691,4.3665,223,18.6,390.77,35.2
0.447,6.758,4.0776,254,17.6,396.9,32.4
0.447,6.854,4.2673,254,17.6,396.9,32.0
0.447,7.267,4.7872,254,17.6,389.25,33.2
0.447,6.826,4.8628,254,17.6,393.45,33.1
0.447,6.482,4.1403,254,17.6,396.9,29.1
0.4429,6.812,4.1007,216,14.9,396.9,35.1
0.4429,7.82,4.6947,216,14.9,387.31,45.4
0.4429,6.968,5.2447,216,14.9,392.23,35.4
0.4429,7.645,5.2119,216,14.9,377.07,46.0
0.401,7.923,5.885,198,13.6,395.52,50.0
0.4,7.088,7.3073,285,15.3,394.72,32.2
0.389,6.453,7.3073,300,15.3,394.72,22.0
0.385,6.23,9.0892,241,18.2,341.6,20.1
0.405,6.209,7.3172,293,16.6,396.9,23.2
0.405,6.315,7.3172,293,16.6,396.9,22.3
0.405,6.565,7.3172,293,16.6,371.72,24.8
0.411,6.861,5.1167,245,19.2,396.9,28.5
0.411,7.148,5.1167,245,19.2,396.9,37.3
0.411,6.63,5.1167,245,19.2,396.9,27.9
0.437,6.127,5.5027,289,16.0,396.9,23.9
0.437,6.009,5.5027,289,16.0,396.9,21.7
0.437,6.678,5.9604,289,16.0,396.9,28.6
0.437,6.549,5.9604,289,16.0,392.85,27.1
0.437,5.79,6.32,289,16.0,396.9,20.3
0.4,6.345,7.8278,358,14.8,368.24,22.5
0.4,7.041,7.8278,358,14.8,371.58,29.0
0.4,6.871,7.8278,358,14.8,390.86,24.8
0.433,6.59,5.4917,329,16.1,395.75,22.0
0.433,6.495,5.4917,329,16.1,383.61,26.4
0.433,6.982,5.4917,329,16.1,390.43,33.1
0.472,7.236,4.022,222,18.4,393.68,36.1
0.472,6.616,3.37,222,18.4,393.36,28.4
0.472,7.42,3.0992,222,18.4,396.9,33.4
0.472,6.849,3.1827,222,18.4,396.9,28.2
0.544,6.635,3.3175,304,18.4,396.9,22.8
0.544,5.972,3.1025,304,18.4,396.24,20.3
0.544,4.973,2.5194,304,18.4,350.45,16.1
0.544,6.122,2.6403,304,18.4,396.9,22.1
0.544,6.023,2.834,304,18.4,396.3,19.4
0.544,6.266,3.2628,304,18.4,393.39,21.6
0.544,6.567,3.6023,304,18.4,395.69,23.8
0.544,5.705,3.945,304,18.4,396.42,16.2
0.544,5.914,3.9986,304,18.4,390.7,17.8
0.544,5.782,4.0317,304,18.4,396.9,19.8
0.544,6.382,3.5325,304,18.4,395.21,23.1
0.544,6.113,4.0019,304,18.4,396.23,21.0
0.493,6.426,4.5404,287,19.6,396.9,23.8
0.493,6.376,4.5404,287,19.6,396.9,23.1
0.493,6.041,4.7211,287,19.6,396.9,20.4
0.493,5.708,4.7211,287,19.6,391.13,18.5
0.493,6.415,4.7211,287,19.6,396.9,25.0
0.493,6.431,5.4159,287,19.6,393.68,24.6
0.493,6.312,5.4159,287,19.6,396.9,23.0
0.493,6.083,5.4159,287,19.6,396.9,22.2
0.46,5.868,5.2146,430,16.9,382.44,19.3
0.46,6.333,5.2146,430,16.9,375.21,22.6
0.46,6.144,5.8736,430,16.9,368.57,19.8
0.4379,5.706,6.6407,304,16.9,394.02,17.1
0.4379,6.031,6.6407,304,16.9,362.25,19.4
0.515,6.316,6.4584,224,20.2,389.71,22.2
0.515,6.31,6.4584,224,20.2,389.4,20.7
0.515,6.037,5.9853,224,20.2,396.9,21.1
0.515,5.869,5.2311,224,20.2,396.9,19.5
0.515,5.895,5.615,224,20.2,394.81,18.5
0.515,6.059,4.8122,224,20.2,396.14,20.6
0.515,5.985,4.8122,224,20.2,396.9,19.0
0.515,5.968,4.8122,224,20.2,396.9,18.7
0.442,7.241,7.0379,284,15.5,394.74,32.7
0.518,6.54,6.2669,422,15.9,389.96,16.5
0.484,6.696,5.7321,370,17.6,396.9,23.9
0.484,6.874,6.4654,370,17.6,387.97,31.2
0.442,6.014,8.0136,352,18.8,385.64,17.5
0.442,5.898,8.0136,352,18.8,364.61,17.2
0.429,6.516,8.5353,351,17.9,392.43,23.1
0.435,6.635,8.344,280,17.0,390.94,24.5
0.429,6.939,8.7921,335,19.7,389.85,26.6
0.429,6.49,8.7921,335,19.7,396.9,22.9
0.411,6.579,10.7103,411,18.3,370.78,24.1
0.411,5.884,10.7103,411,18.3,392.33,18.6
0.41,6.728,12.1265,187,17.0,384.46,30.1
0.413,5.663,10.5857,334,22.0,382.8,18.2
0.413,5.936,10.5857,334,22.0,376.04,20.6
0.77,6.212,2.1222,666,20.2,377.73,17.8
0.77,6.395,2.5052,666,20.2,391.34,21.7
0.77,6.127,2.7227,666,20.2,395.43,22.7
0.77,6.112,2.5091,666,20.2,390.74,22.6
0.77,6.398,2.5182,666,20.2,374.56,25.0
0.77,6.251,2.2955,666,20.2,350.65,19.9
0.77,5.362,2.1036,666,20.2,380.79,20.8
0.77,5.803,1.9047,666,20.2,353.04,16.8
0.718,8.78,1.9047,666,20.2,354.55,21.9
0.718,3.561,1.6132,666,20.2,354.7,27.5
0.718,4.963,1.7523,666,20.2,316.03,21.9
0.631,3.863,1.5106,666,20.2,131.42,23.1
0.631,4.97,1.3325,666,20.2,375.52,50.0
0.631,6.683,1.3567,666,20.2,375.33,50.0
0.631,7.016,1.2024,666,20.2,392.05,50.0
0.631,6.216,1.1691,666,20.2,366.15,50.0
0.668,5.875,1.1296,666,20.2,347.88,50.0
0.668,4.906,1.1742,666,20.2,396.9,13.8
0.668,4.138,1.137,666,20.2,396.9,13.8
0.671,7.313,1.3163,666,20.2,396.9,15.0
0.671,6.649,1.3449,666,20.2,363.02,13.9
0.671,6.794,1.358,666,20.2,396.9,13.3
0.671,6.38,1.3861,666,20.2,396.9,13.1
0.671,6.223,1.3861,666,20.2,393.74,10.2
0.671,6.968,1.4165,666,20.2,396.9,10.4
0.671,6.545,1.5192,666,20.2,396.9,10.9
0.7,5.536,1.5804,666,20.2,396.9,11.3
0.7,5.52,1.5331,666,20.2,396.9,12.3
0.7,4.368,1.4395,666,20.2,285.83,8.8
0.7,5.277,1.4261,666,20.2,396.9,7.2
0.7,4.652,1.4672,666,20.2,396.9,10.5
0.7,5.0,1.5184,666,20.2,396.9,7.4
0.7,4.88,1.5895,666,20.2,372.92,10.2
0.7,5.39,1.7281,666,20.2,396.9,11.5
0.7,5.713,1.9265,666,20.2,394.43,15.1
0.7,6.051,2.1678,666,20.2,378.38,23.2
0.7,5.036,1.77,666,20.2,396.9,9.7
0.693,6.193,1.7912,666,20.2,396.9,13.8
0.693,5.887,1.7821,666,20.2,396.9,12.7
0.693,6.471,1.7257,666,20.2,391.98,13.1
0.693,6.405,1.6768,666,20.2,396.9,12.5
0.693,5.747,1.6334,666,20.2,393.1,8.5
0.693,5.453,1.4896,666,20.2,396.9,5.0
0.693,5.852,1.5004,666,20.2,338.16,6.3
0.693,5.987,1.5888,666,20.2,396.9,5.6
0.693,6.343,1.5741,666,20.2,396.9,7.2
0.693,6.404,1.639,666,20.2,376.11,12.1
0.693,5.349,1.7028,666,20.2,396.9,8.3
0.693,5.531,1.6074,666,20.2,329.46,8.5
0.693,5.683,1.4254,666,20.2,384.97,5.0
0.659,4.138,1.1781,666,20.2,370.22,11.9
0.659,5.608,1.2852,666,20.2,332.09,27.9
0.597,5.617,1.4547,666,20.2,314.64,17.2
0.597,6.852,1.4655,666,20.2,179.36,27.5
0.597,5.757,1.413,666,20.2,2.6,15.0
0.597,6.657,1.5275,666,20.2,35.05,17.2
0.597,4.628,1.5539,666,20.2,28.79,17.9
0.597,5.155,1.5894,666,20.2,210.97,16.3
0.693,4.519,1.6582,666,20.2,88.27,7.0
0.679,6.434,1.8347,666,20.2,27.25,7.2
0.679,6.782,1.8195,666,20.2,21.57,7.5
0.679,5.304,1.6475,666,20.2,127.36,10.4
0.679,5.957,1.8026,666,20.2,16.45,8.8
0.718,6.824,1.794,666,20.2,48.45,8.4
0.718,6.411,1.8589,666,20.2,318.75,16.7
0.718,6.006,1.8746,666,20.2,319.98,14.2
0.614,5.648,1.9512,666,20.2,291.55,20.8
0.614,6.103,2.0218,666,20.2,2.52,13.4
0.584,5.565,2.0635,666,20.2,3.65,11.7
0.679,5.896,1.9096,666,20.2,7.68,8.3
0.584,5.837,1.9976,666,20.2,24.65,10.2
0.679,6.202,1.8629,666,20.2,18.82,10.9
0.679,6.193,1.9356,666,20.2,96.73,11.0
0.679,6.38,1.9682,666,20.2,60.72,9.5
0.584,6.348,2.0527,666,20.2,83.45,14.5
0.584,6.833,2.0882,666,20.2,81.33,14.1
0.584,6.425,2.2004,666,20.2,97.95,16.1
0.713,6.436,2.3158,666,20.2,100.19,14.3
0.713,6.208,2.2222,666,20.2,100.63,11.7
0.74,6.629,2.1247,666,20.2,109.85,13.4
0.74,6.461,2.0026,666,20.2,27.49,9.6
0.74,6.152,1.9142,666,20.2,9.32,8.7
0.74,5.935,1.8206,666,20.2,68.95,8.4
0.74,5.627,1.8172,666,20.2,396.9,12.8
0.74,5.818,1.8662,666,20.2,391.45,10.5
0.74,6.406,2.0651,666,20.2,385.96,17.1
0.74,6.219,2.0048,666,20.2,395.69,18.4
0.74,6.485,1.9784,666,20.2,386.73,15.4
0.74,5.854,1.8956,666,20.2,240.52,10.8
0.74,6.459,1.9879,666,20.2,43.06,11.8
0.74,6.341,2.072,666,20.2,318.01,14.9
0.74,6.251,2.198,666,20.2,388.52,12.6
0.713,6.185,2.2616,666,20.2,396.9,14.1
0.713,6.417,2.185,666,20.2,304.21,13.0
0.713,6.749,2.3236,666,20.2,0.32,13.4
0.713,6.655,2.3552,666,20.2,355.29,15.2
0.713,6.297,2.3682,666,20.2,385.09,16.1
0.713,7.393,2.4527,666,20.2,375.87,17.8
0.713,6.728,2.4961,666,20.2,6.68,14.9
0.713,6.525,2.4358,666,20.2,50.92,14.1
0.713,5.976,2.5806,666,20.2,10.48,12.7
0.713,5.936,2.7792,666,20.2,3.5,13.5
0.713,6.301,2.7831,666,20.2,272.21,14.9
0.713,6.081,2.7175,666,20.2,396.9,20.0
0.713,6.701,2.5975,666,20.2,255.23,16.4
0.713,6.376,2.5671,666,20.2,391.43,17.7
0.713,6.317,2.7344,666,20.2,396.9,19.5
0.713,6.513,2.8016,666,20.2,393.82,20.2
0.655,6.209,2.9634,666,20.2,396.9,21.4
0.655,5.759,3.0665,666,20.2,334.4,19.9
0.655,5.952,2.8715,666,20.2,22.01,19.0
0.584,6.003,2.5403,666,20.2,331.29,19.1
0.58,5.926,2.9084,666,20.2,368.74,19.1
0.58,5.713,2.8237,666,20.2,396.9,20.1
0.58,6.167,3.0334,666,20.2,396.9,19.9
0.532,6.229,3.0993,666,20.2,395.33,19.6
0.58,6.437,2.8965,666,20.2,393.37,23.2
0.614,6.98,2.5329,666,20.2,374.68,29.8
0.584,5.427,2.4298,666,20.2,352.58,13.8
0.584,6.162,2.206,666,20.2,302.76,13.3
0.614,6.484,2.3053,666,20.2,396.21,16.7
0.614,5.304,2.1007,666,20.2,349.48,12.0
0.614,6.185,2.1705,666,20.2,379.7,14.6
0.614,6.229,1.9512,666,20.2,383.32,21.4
0.532,6.242,3.4242,666,20.2,396.9,23.0
0.532,6.75,3.3317,666,20.2,393.07,23.7
0.532,7.061,3.4106,666,20.2,395.28,25.0
0.532,5.762,4.0983,666,20.2,392.92,21.8
0.583,5.871,3.724,666,20.2,370.73,20.6
0.583,6.312,3.9917,666,20.2,388.62,21.2
0.583,6.114,3.5459,666,20.2,392.68,19.1
0.583,5.905,3.1523,666,20.2,388.22,20.6
0.609,5.454,1.8209,711,20.1,395.09,15.2
0.609,5.414,1.7554,711,20.1,344.05,7.0
0.609,5.093,1.8226,711,20.1,318.43,8.1
0.609,5.983,1.8681,711,20.1,390.11,13.6
0.609,5.983,2.1099,711,20.1,396.9,20.1
0.585,5.707,2.3817,391,19.2,396.9,21.8
0.585,5.926,2.3817,391,19.2,396.9,24.5
0.585,5.67,2.7986,391,19.2,393.29,23.1
0.585,5.39,2.7986,391,19.2,396.9,19.7
0.585,5.794,2.8927,391,19.2,396.9,18.3
0.585,6.019,2.4091,391,19.2,396.9,21.2
0.585,5.569,2.3999,391,19.2,395.77,17.5
0.585,6.027,2.4982,391,19.2,396.9,16.8
0.573,6.593,2.4786,273,21.0,391.99,22.4
0.573,6.12,2.2875,273,21.0,396.9,20.6
0.573,6.976,2.1675,273,21.0,396.9,23.9
0.573,6.794,2.3889,273,21.0,393.45,22.0
0.573,6.03,2.505,273,21.0,396.9,11.9
